(.venv) jacksoncamp@Jacksons-MacBook-Pro mod4-jacksoncamp42 % python3 project/run_mnist_multiclass.py
Epoch 1 loss 2.304100461562631 valid acc 0/16
Epoch 1 loss 11.497848686586078 valid acc 0/16
Epoch 1 loss 11.498043861445648 valid acc 0/16
Epoch 1 loss 11.490682823879084 valid acc 0/16
Epoch 1 loss 11.46673355451254 valid acc 0/16
Epoch 1 loss 11.433035878006825 valid acc 1/16
Epoch 1 loss 11.384855866911684 valid acc 5/16
Epoch 1 loss 11.414590748758945 valid acc 2/16
Epoch 1 loss 11.177011077738037 valid acc 6/16
Epoch 1 loss 10.27822623184549 valid acc 3/16
Epoch 1 loss 9.414437451242108 valid acc 8/16
Epoch 1 loss 8.003703089021691 valid acc 11/16
Epoch 1 loss 7.160268836860528 valid acc 10/16
Epoch 1 loss 7.446479107625637 valid acc 9/16
Epoch 1 loss 6.3391337221770785 valid acc 9/16
Epoch 1 loss 5.370551976406675 valid acc 11/16
Epoch 1 loss 6.940459869683584 valid acc 8/16
Epoch 1 loss 5.965410201190788 valid acc 12/16
Epoch 1 loss 5.260808458949398 valid acc 14/16
Epoch 1 loss 4.706485270341067 valid acc 12/16
Epoch 1 loss 4.837999446421403 valid acc 12/16
Epoch 1 loss 3.5233512546937362 valid acc 13/16
Epoch 1 loss 4.107814131212551 valid acc 9/16
Epoch 1 loss 4.331097342776426 valid acc 11/16
Epoch 1 loss 2.3237658981353735 valid acc 10/16
Epoch 1 loss 6.327455368206388 valid acc 8/16
Epoch 1 loss 3.633965608230225 valid acc 13/16
Epoch 1 loss 2.0990038181331245 valid acc 14/16
Epoch 1 loss 2.6276637628421393 valid acc 12/16
Epoch 1 loss 2.5332111216510764 valid acc 11/16
Epoch 1 loss 5.365051972493235 valid acc 10/16
Epoch 1 loss 3.2483583474580087 valid acc 11/16
Epoch 1 loss 2.214207032877228 valid acc 11/16
Epoch 1 loss 3.6961877697272443 valid acc 13/16
Epoch 1 loss 5.2954542142405385 valid acc 10/16
Epoch 1 loss 3.99697017299788 valid acc 14/16
Epoch 1 loss 2.878520637522547 valid acc 11/16
Epoch 1 loss 3.0574717950217205 valid acc 14/16
Epoch 1 loss 3.891917110341094 valid acc 12/16
Epoch 1 loss 2.9676653802147155 valid acc 13/16
Epoch 1 loss 2.242887490752828 valid acc 12/16
